"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"53497"	"AT 2020bnx"	"10:48:01.807"	"+40:46:16.49"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aadyati"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.3655"	"g-ZTF"	"2020-01-05 12:20:52.000"	"ZTF_CLU_PUBLIC"	""	""
"53496"	"AT 2020bnw"	"09:50:43.881"	"+35:41:19.00"	""	""	""	""	"YSE"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20oc"	"PS1 - GPC1"	""	"1"	"1"	""	"20.29"	"i-Sloan"	"2020-01-29 11:25:26.000"	"YSE_Bot1"	""	""
"53495"	"AT 2020bnv"	"14:38:56.206"	"+46:41:19.44"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aaknzlw"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.8111"	"g-ZTF"	"2020-01-08 13:21:38.000"	"ZTF_CLU_PUBLIC"	""	""
"53494"	"AT 2020bnu"	"07:55:55.461"	"+33:59:37.23"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20nz"	"PS1 - GPC1"	""	"1"	"1"	""	"20.87"	"w-PS1"	"2020-01-19 08:54:14.000"	"PS1_Bot1"	""	""
"53493"	"AT 2020bnt"	"09:16:52.140"	"+01:54:09.19"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20ny"	"PS1 - GPC1"	""	"1"	"1"	""	"19.8"	"w-PS1"	"2020-01-22 11:28:19.000"	"PS1_Bot1"	""	""
"53492"	"AT 2020bns"	"10:36:55.503"	"+54:18:36.66"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20nx"	"PS1 - GPC1"	""	"1"	"1"	""	"20.61"	"w-PS1"	"2020-01-27 11:35:31.000"	"PS1_Bot1"	""	""
"53491"	"AT 2020bnr"	"10:46:36.626"	"-22:39:35.40"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20nw"	"PS1 - GPC1"	""	"1"	"1"	""	"20.67"	"w-PS1"	"2020-01-24 12:00:00.000"	"PS1_Bot1"	""	""
"53490"	"AT 2020bnq"	"10:04:49.521"	"+49:15:25.83"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20nv"	"PS1 - GPC1"	""	"1"	"1"	""	"20.28"	"w-PS1"	"2020-01-27 11:29:45.000"	"PS1_Bot1"	""	""
"53489"	"AT 2020bnp"	"03:17:02.173"	"+23:45:46.77"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20nu"	"PS1 - GPC1"	""	"1"	"1"	""	"20.2"	"w-PS1"	"2020-01-22 07:36:28.000"	"PS1_Bot1"	""	""
"53488"	"AT 2020bno"	"08:24:14.931"	"+39:16:30.24"	""	""	""	""	"Pan-STARRS1, ATLAS"	"Pan-STARRS1, ATLAS"	""	"ATLAS; Pan-STARRS1"	"PS20ns"	"ATLAS1 - ACAM1, PS1 - GPC1"	""	"1"	"1"	""	"20"	"w-PS1"	"2020-01-30 10:29:16.000"	"PS1_Bot1"	""	""
