,Candidate,Instrument,Pipeline,Min_Date,Min_MJD,ra,dec,Max_Mag
17,DC22iomta,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.97971336986446,-5.395667339046746,22.64
18,DC22iomtl,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,33.806245360492824,-4.654783255030355,22.56
19,DC22iomuc,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,33.79054906153801,-4.678871022044272,22.59
20,DC22iomug,DECam,DECAT_RK,2022-10-02T06:12:57.600,59854.259,33.71989478845154,-5.436244624397738,22.7
21,DC22iomuk,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.150096915956276,-5.028016859244842,22.56
22,DC22iomuz,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.398205681627616,-4.13510279676045,22.25
23,DC22iomvf,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.074578132849425,-4.172097903324843,22.66
24,DC22iomvx,DECam,DECAT_RK,2022-10-02T06:20:09.600,59854.264,34.493148053514425,-5.650066626476326,22.87
25,DC22iomwe,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.17631095175401,-4.985251742393786,22.42
26,DC22iomwg,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,35.11295997570138,-4.992622483778374,22.2
27,DC22iomwk,DECam,DECAT_RK,2022-10-02T06:12:57.600,59854.259,34.39513096349517,-5.448756526614607,22.76
28,DC22iomwm,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,33.90010362638441,-4.570069102950965,22.55
29,DC22iomxl,DECam,DECAT_RK,2022-10-02T06:17:16.800,59854.262,33.855918372261954,-5.512567675080501,23.1
30,DC22iomxn,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,35.33476990310446,-5.390722308064977,22.24
31,DC22iomxr,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.47680789985644,-4.0659860160866925,21.63
32,DC22iomxu,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,33.93346213745682,-5.602127988622218,22.38
33,DC22iomxw,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.935716823810424,-4.984624644925846,22.57
34,DC22iomyg,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,33.873377536772246,-5.435569691944753,21.77
