,ObjectID,FIRST_ROUND,XWIN_WORLD,YWIN_WORLD,LAST_ROUND,NALT,MAXSCORE
205,A202302171304496p063758,5,196.20670018363808,6.632810800421533,5,2,0.708
206,A202302171244119p071844,5,191.04965011404488,7.312364984839791,5,2,0.732
207,A202302171248344p053829,5,192.14348761763543,5.641468483099715,5,3,0.995
208,A202302111045341m075441,3,161.39228690182702,-7.911654171291754,5,3,0.919
209,A202302171041117m065031,5,160.298985118568,-6.841974628238912,5,2,0.713
210,A202302141112208m070403,4,168.08672285401408,-7.067571035364289,5,4,0.7090000000000001
211,A202302141039535m071353,4,159.97293815186933,-7.231556992002424,5,3,0.883
212,A202302141103591m061355,4,165.9963234827885,-6.232027371575157,5,3,0.706
213,A202302141037195m070607,4,159.33165000268758,-7.102058455496336,5,3,0.863
214,A202302171308371p061121,5,197.1547943397757,6.189280840176874,5,3,0.939
215,A202302171305397p075736,5,196.41542773464528,7.960152022038042,5,2,0.7070000000000001
216,A202302141107335m064411,4,166.88986178146402,-6.7364149385724295,5,3,0.831
217,A202302171306143p071035,5,196.5599503484642,7.176459920009451,5,2,0.846
218,A202302171240423p070642,5,190.1762803396641,7.111727198910727,5,4,0.745
219,A202302171248135p073440,5,192.0564404776192,7.577941218930078,5,3,0.813
220,A202302171254498p074511,5,193.70763636348505,7.753125837728344,5,2,0.7709999999999999
221,A202302171304587p073043,5,196.24476605657628,7.512146259064089,5,3,0.899
222,A202302171250058p073533,5,192.52448082974587,7.592511849706253,5,3,0.964
223,A202302171244226p063827,5,191.09454197774525,6.640861754868437,5,2,0.992
224,A202302171246336p064125,5,191.6401467779306,6.690381486499637,5,3,0.921
225,A202302111041008m071620,3,160.2537249141454,-7.272432387858385,5,5,0.922
226,A202302171253169p074224,5,193.32046309441287,7.706942369055008,5,3,0.905
227,T202302171243544p070639,5,190.97673461315,7.110934115545485,5,2,0.851
228,A202302141058308m051355,4,164.62872032157702,-5.232091526912695,5,5,0.9
229,A202302171248538p053113,5,192.2244428370934,5.520524352569819,5,2,0.902
230,A202302171306293p055323,5,196.6224011184721,5.889883000319087,5,4,0.938
231,A202302141104093m072829,4,166.03899954536672,-7.4749119258364445,5,3,0.865
232,A202302171309413p061112,5,197.4224638071172,6.186772700093088,5,2,0.871
233,A202302141101243m063309,4,165.3513331767073,-6.552691356611887,5,4,0.725
234,A202302141100337m060828,4,165.14067842641555,-6.141323213227283,5,3,0.906
235,A202302171043440m070945,5,160.9336491768109,-7.162644715889139,5,2,0.732
236,A202302111044041m080029,3,161.01724888378124,-8.008266549968187,5,5,0.963
237,T202302141054435m052208,4,163.68150591142054,-5.369046935217625,5,5,0.848
238,A202302171234303p073100,5,188.62644371894947,7.516741697339392,5,2,0.904
239,A202302141058247m072321,4,164.60331758698905,-7.389404020315063,5,4,0.87
240,A202302171234433p070433,5,188.680754293588,7.075902194888956,5,3,0.722
241,A202302171308224p064829,5,197.0935309492173,6.808303531507615,5,3,0.845
242,A202302171245578p055254,5,191.4910745261284,5.8817898724484285,5,2,0.947
243,T202302171301122p064804,5,195.3011948703083,6.8011755067537365,5,2,0.897
244,A202302171101567m071644,5,165.48633906625562,-7.279161571808699,5,2,0.8240000000000001
245,A202302111047281m072022,3,161.86728546630866,-7.339561380158324,5,4,0.932
246,A202302171038426m064420,5,159.67753601989668,-6.738900113090166,5,2,0.785
247,A202302141103354m055912,4,165.8978352537201,-5.986672453686719,5,5,0.752
248,A202302171305486p071217,5,196.4528776627317,7.20487811717726,5,3,0.92
249,A202302141102132m053539,4,165.55529857153226,-5.59431479584896,5,5,0.715
250,A202302171245115p065609,5,191.2980627622329,6.935895405539617,5,3,0.99
251,A202302171242488p051841,5,190.70371540432944,5.311544541346041,5,3,0.983
252,A202302171258262p062451,5,194.60917102137853,6.414266467276843,5,3,0.977
