objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host
C202308020218561m062647,02:18:56.073 -06:26:46.989,34.73363756559349,-6.446386047224052,34.73365555616715,-6.446373136385979,39,2023-08-02T07:35:30.088,20.32095854837791,i,2023-08-28T07:50:12.805,19.92654762733817,i,2023-12-14T02:45:45.738,22.589457256205687,g,0348m065_1519,34.73376507112668,-6.446489448531868,20.18327698111534,18.81404221057892,17.72664725780487,None,None
T202311080217068m045224,02:17:06.824 -04:52:24.399,34.27843730010312,-4.873444443129221,34.27846321357186,-4.87344145273313,20,2023-11-08T05:12:20.932,22.47454768400973,g,2023-11-08T05:16:00.318,22.4129902146844,r,2023-11-17T04:50:58.661,22.90358274524904,i,0342m050_9564,34.27869528839802,-4.874112457089105,22.04346228390932,21.225630939006805,20.78857570886612,0.13,nan
C202309240225149m044923,02:25:14.862 -04:49:23.108,36.31192538188099,-4.823085797737546,36.31192538188099,-4.823085797737546,26,2023-09-24T06:46:15.309,21.342327342322676,g,2023-09-24T06:46:15.309,21.342327342322676,g,2023-11-14T05:22:01.902,22.900785022513244,i,0362m047_15418,36.31203072509712,-4.823094366809383,20.465185344219208,20.082218796014786,19.88704562187195,None,None
T202310260224118m070643,02:24:11.767 -07:06:42.604,36.0490307736308,-7.11183467869015,36.04903821599274,-7.111923052075099,34,2023-10-26T04:29:33.285,22.1533296077337,r,2023-11-11T05:04:01.310,21.569462171132514,r,2023-12-11T02:46:52.364,22.788036504509773,i,0361m070_2690,36.04938978282344,-7.112005215162149,21.83269239962101,21.08143448829651,20.676142275333405,nan,nan
T202310260218473m044216,02:18:47.331 -04:42:15.662,34.69721654943337,-4.70435065315322,34.69723871759587,-4.704240604323378,35,2023-10-26T04:15:01.914,21.952602827055777,g,2023-10-26T04:20:19.628,21.634245959469432,r,2023-12-11T02:35:43.414,22.73677127521906,i,0347m047_4705,34.69757701277227,-4.70455934307233,21.378478556871414,20.6259922683239,20.177092403173447,nan,nan
C202308020223107m062233,02:23:10.745 -06:22:33.313,35.79477365554492,-6.375920401647264,35.79484864917256,-6.375956653848494,29,2023-08-02T07:35:30.088,21.165507033393116,i,2023-08-03T07:32:06.767,20.9333109051325,i,2023-12-02T05:02:32.031,22.34471165141241,i,0358m062_5327,35.7949529414901,-6.376038356831145,19.090189337730408,17.920981347560883,17.182121872901917,None,None
C202308030224258m034508,02:24:25.805 -03:45:08.318,36.10752309661797,-3.752310641628174,36.10760521902984,-3.752292287364412,28,2023-08-03T07:41:21.318,22.1332060762462,r,2023-08-13T09:28:01.900,21.18514859633282,g,2023-09-24T06:55:24.066,22.490051442225706,i,0361m037_3732,36.10745909230191,-3.752041712708437,20.92178449034691,20.31226634979248,19.939483404159546,nan,nan
C202308020224150m064806,02:24:15.014 -06:48:06.339,36.06255911972914,-6.801761102898863,36.06253490443102,-6.801756990185809,29,2023-08-02T07:35:30.088,21.226887346617517,i,2023-08-04T08:26:44.440,21.08551365626508,r,2023-10-12T05:59:04.699,23.23177858017592,i,0360m067_5609,36.06269406164961,-6.801769634259129,21.21598869562149,20.437002032995224,19.94245857000351,nan,nan
T202308130216226m052920,02:16:22.627 -05:29:19.907,34.09428182653252,-5.488863274277542,34.09432132959304,-5.488912361032096,31,2023-08-13T09:15:04.174,22.23169440729435,i,2023-08-28T07:35:36.593,21.228688432696167,r,2023-12-02T04:53:12.842,23.055499174871546,i,0340m055_9404,34.09441706919937,-5.489121783514091,20.057328045368195,19.006276726722717,18.315409719944,None,None
T202311080223067m040730,02:23:06.745 -04:07:29.919,35.77810832420537,-4.124977552202257,35.77811126916713,-4.124992680222503,25,2023-11-08T05:34:11.485,23.14453774357256,g,2023-11-14T05:26:07.564,21.846629891911437,i,2023-12-11T02:58:03.691,22.615314421026223,i,0356m042_17864,35.77816895635092,-4.125323690521072,20.831889510154724,19.776163697242737,19.13843721151352,None,None
