sn name,index,hemisphere,ra,dec,sn_z,host_ra,host_dec,program,priority
ZTF18aaahmtc,2.0,north,125.25773193809523,31.07059153809524,-9999.0,125.248984467,31.0567782435,SNe_Ia,4.0
ZTF18aaahmtc,3.0,north,125.25773193809523,31.07059153809524,-9999.0,125.248673887,31.0651085143,SNe_Ia,4.0
ZTF18aaaicso,1.0,north,130.64280167058823,57.53881620000001,-9999.0,130.642778703,57.5387260672,SNe_Ia,4.0
ZTF18aaaisty,1.0,south,120.94935915555556,19.79591047777778,-9999.0,120.939487993,19.7936563183,SNe_Ia,4.0
ZTF18aaaisty,2.0,south,120.94935915555556,19.79591047777778,-9999.0,120.946905516,19.7967584381,SNe_Ia,4.0
ZTF18aaaisty,3.0,south,120.94935915555556,19.79591047777778,-9999.0,120.938249303,19.7883413048,SNe_Ia,4.0
ZTF18aaaivry,1.0,north,123.7338083344828,53.425950331034485,-9999.0,123.730459821,53.422507279,SNe_Ia,3.0
ZTF18aaaivry,2.0,north,123.7338083344828,53.425950331034485,-9999.0,123.719789961,53.4222698782,SNe_Ia,3.0
ZTF18aaaivry,3.0,north,123.7338083344828,53.425950331034485,-9999.0,123.756247098,53.4184479498,SNe_Ia,3.0
ZTF18aaajljy,1.0,south,184.82804,15.7721,0.0832,184.827906797,15.7720925504,RCF,3.0
ZTF18aaajnkh,1.0,south,196.146061564,18.7968687,-9999.0,196.144271464,18.7948758659,SNe_Ia,3.0
ZTF18aaajnkh,2.0,south,196.146061564,18.7968687,-9999.0,196.140560249,18.7959490206,SNe_Ia,3.0
ZTF18aaajnkh,3.0,south,196.146061564,18.7968687,-9999.0,196.146803249,18.7988673705,SNe_Ia,3.0
ZTF18aaakbnh,1.0,north,149.26353874285715,58.455859228571434,-9999.0,149.261266598,58.4576558002,SNe_Ia,4.0
ZTF18aaakbnh,2.0,north,149.26353874285715,58.455859228571434,-9999.0,149.268119876,58.4576904093,SNe_Ia,4.0
ZTF18aaakpsa,1.0,south,21.88556,19.17885,0.017,21.885625,19.1788333333,RCF,3.0
ZTF18aaaluzq,1.0,south,113.43672631428568,15.724381828571428,-9999.0,113.437992461,15.7231554997,SNe_Ia,4.0
ZTF18aaaluzq,2.0,south,113.43672631428568,15.724381828571428,-9999.0,113.437876312,15.7239460223,SNe_Ia,4.0
ZTF18aaaluzq,3.0,south,113.43672631428568,15.724381828571428,-9999.0,113.440752057,15.727642103,SNe_Ia,4.0
ZTF18aaalymq,1.0,south,117.58952564444445,15.337184444444445,-9999.0,117.591768294,15.3399202436,SNe_Ia,5.0
ZTF18aaalymq,2.0,south,117.58952564444445,15.337184444444445,-9999.0,117.59275663,15.3313811923,SNe_Ia,5.0
ZTF18aaalymq,3.0,south,117.58952564444445,15.337184444444445,-9999.0,117.598644007,15.3297247267,SNe_Ia,5.0
ZTF18aaanxpx,1.0,north,133.38632303,51.31382165,-9999.0,133.386416667,51.3136666667,SNe_Ia,3.0
ZTF18aaanxpx,2.0,north,133.38632303,51.31382165,-9999.0,133.386,51.3131,SNe_Ia,3.0
ZTF18aaanxpx,3.0,north,133.38632303,51.31382165,-9999.0,133.3794,51.31247,SNe_Ia,3.0
ZTF18aaaorhy,1.0,north,197.91951938466246,56.14305239079753,-9999.0,197.922515418,56.1439143161,SNe_Ia,3.0
ZTF18aaaorhy,2.0,north,197.91951938466246,56.14305239079753,-9999.0,197.923884939,56.1424166981,SNe_Ia,3.0
ZTF18aaaorhy,3.0,north,197.91951938466246,56.14305239079753,-9999.0,197.932120264,56.1405509606,SNe_Ia,3.0
ZTF18aaaotwe,1.0,south,198.29333723,15.75091335,-9999.0,198.293304032,15.75090699,SNe_Ia,4.0
ZTF18aaarwhm,1.0,north,98.51260859090912,44.11048430909091,-9999.0,98.5170874588,44.1170670651,SNe_Ia,4.0
ZTF18aaarwhm,2.0,north,98.51260859090912,44.11048430909091,-9999.0,98.5258154493,44.1084334593,SNe_Ia,4.0
ZTF18aaarwhm,3.0,north,98.51260859090912,44.11048430909091,-9999.0,98.498357665,44.1037641389,SNe_Ia,4.0
ZTF18aaaseqc,1.0,north,128.74250193870964,44.06059704301076,-9999.0,128.737775474,44.0622999489,SNe_Ia,3.0
ZTF18aaaseqc,2.0,north,128.74250193870964,44.06059704301076,-9999.0,128.743719855,44.0596683158,SNe_Ia,3.0
ZTF18aaaseqc,3.0,north,128.74250193870964,44.06059704301076,-9999.0,128.74497138,44.0627903197,SNe_Ia,3.0
ZTF18aaavwka,1.0,south,188.93439494166665,16.093412758333333,-9999.0,188.934230636,16.0959856804,SNe_Ia,3.0
ZTF18aaavwka,2.0,south,188.93439494166665,16.093412758333333,-9999.0,188.934744236,16.0892616939,SNe_Ia,3.0
ZTF18aaavwka,3.0,south,188.93439494166665,16.093412758333333,-9999.0,188.932814755,16.0955601431,SNe_Ia,3.0
ZTF18aaaxtgu,1.0,south,122.32665593749998,12.857935075,-9999.0,122.33141525,12.8444108744,SNe_Ia,4.0
