"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"54360"	"SN 2020cui"	"11:22:19.650"	"-07:34:47.14"	"SN IIn"	"0.025"	""	""	"SGLF, ZTF, MASTER, Pan-STARRS1, GaiaAlerts"	"ZTF, MASTER, Pan-STARRS1, GaiaAlerts"	"SGLF, ePESSTO+"	"GaiaAlerts; MASTER; Pan-STARRS1; ZTF"	"ZTF20aammbvq"	"Gaia - Gaia-photometric, Other - Other, P48 - ZTF-Cam, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.51"	"r-ZTF"	"2020-02-09 10:03:26.000"	"Perez-Fournon"	""	""
"54359"	"AT 2020cuh"	"10:43:26.468"	"+57:04:35.42"	""	""	""	""	"SGLF"	"ZTF"	""	"ZTF"	"ZTF20aamvcxa"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.422"	"g-ZTF"	"2020-02-14 05:18:10.000"	"Perez-Fournon"	""	""
"54358"	"AT 2020cug"	"08:50:35.672"	"-03:06:53.00"	""	""	""	""	"SNHunt, Pan-STARRS1"	"CRTS, Pan-STARRS1"	""	"CRTS; Pan-STARRS1"	""	"Other - Other, PS1 - GPC1"	""	"1"	"1"	""	"19"	"V-crts-CRTS"	"2020-02-17 05:43:07.000"	"Drake"	""	""
"54357"	"AT 2020cuf"	"02:17:16.198"	"-06:04:08.76"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aanloyz"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.6591"	"r-ZTF"	"2020-02-15 03:04:19.000"	"ZTF_CLU_PUBLIC"	""	""
"54355"	"SN 2020cue"	"18:22:49.600"	"+47:49:55.13"	"SN Ia"	"0.06"	""	""	"ZTF, ATLAS, GaiaAlerts"	"ZTF, ATLAS, GaiaAlerts"	"ZTF"	"ATLAS; GaiaAlerts; ZTF"	"ZTF20aamifit"	"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam"	"P60 - SEDM"	"1"	"1"	""	"17.69"	"r-ZTF"	"2020-02-07 13:22:04.000"	"ZTF_Bot1"	""	""
"54354"	"SN 2020cud"	"13:27:47.620"	"-27:16:22.30"	"SN Ia-91T-like"	"0.045305"	"2MASX J13274799-2716258"	"0.0502"	"GOTO, ATLAS"	"GOTO, ATLAS"	"ePESSTO+"	"ATLAS; GOTO"	"GOTO20hb"	"ATLAS1 - ACAM1, GOTO-N - GOTO-1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.1"	"L-GOTO"	"2020-02-17 04:51:06.000"	"Kennedy"	""	""
"54353"	"AT 2020cuc"	"14:12:12.782"	"-09:54:35.12"	""	""	"LEDA 984860"	""	"GOTO, ATLAS, Pan-STARRS1"	"GOTO, ATLAS, Pan-STARRS1"	""	"ATLAS; GOTO; Pan-STARRS1"	"GOTO20hg"	"ATLAS1 - ACAM1, GOTO-N - GOTO-1, PS1 - GPC1"	""	"1"	"1"	""	"18.11"	"L-GOTO"	"2020-02-17 03:57:06.000"	"Kennedy"	""	""
"54352"	"AT 2020cub"	"14:21:12.120"	"+03:43:34.32"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avl"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.21"	"G-Gaia"	"2020-02-14 12:37:26.000"	"Gaia_Bot1"	""	""
"54351"	"AT 2020cua"	"01:42:38.020"	"-19:46:29.10"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avk"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"17.36"	"G-Gaia"	"2020-02-14 04:58:04.000"	"Gaia_Bot1"	""	""
"54350"	"AT 2020ctz"	"10:46:13.035"	"+44:14:04.60"	""	""	"SDSS J104612.76+441359.4"	"0.08652"	"SGLF, ATLAS, ZTF"	"ZTF, ATLAS"	""	"ATLAS; ZTF"	"ZTF20aanqmvu"	"ATLAS1 - ACAM1, P48 - ZTF-Cam"	""	"1"	"1"	""	"20.784"	"g-ZTF"	"2020-02-14 05:54:15.000"	"Perez-Fournon"	""	""
"54347"	"AT 2020cty"	"17:03:43.790"	"-44:12:47.84"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avj"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.01"	"G-Gaia"	"2020-02-15 15:20:09.000"	"Gaia_Bot1"	""	""
"54346"	"AT 2020ctx"	"16:36:19.570"	"-38:24:15.05"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avi"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"17.32"	"G-Gaia"	"2020-02-15 15:12:57.000"	"Gaia_Bot1"	""	""
"54345"	"AT 2020ctw"	"20:56:09.660"	"-60:23:25.12"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avf"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.96"	"G-Gaia"	"2020-02-15 15:54:43.000"	"Gaia_Bot1"	""	""
"54344"	"AT 2020ctv"	"07:38:47.030"	"+59:54:35.60"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avd"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.25"	"G-Gaia"	"2020-02-15 11:08:09.000"	"Gaia_Bot1"	""	""
"54343"	"AT 2020ctu"	"07:48:50.300"	"+61:26:08.20"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avc"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.64"	"G-Gaia"	"2020-02-14 23:09:36.000"	"Gaia_Bot1"	""	""
"54342"	"AT 2020ctt"	"16:03:43.130"	"-34:04:48.47"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avb"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"16.42"	"G-Gaia"	"2020-02-15 01:19:12.000"	"Gaia_Bot1"	""	""
"54341"	"AT 2020cts"	"18:10:25.500"	"-61:17:46.00"	""	""	""	""	"MASTER"	"MASTER"	""	"MASTER"	"MASTER OT J181025.50-611746.0"	"Other - Other"	""	"1"	"1"	""	"15.6"	"Clear-"	"2020-02-17 01:01:48.000"	"MASTER"	""	""
"54340"	"SN 2020ctr"	"08:58:37.616"	"+20:11:30.61"	"SN Ia"	"0.03"	""	""	"ZTF"	"ZTF"	"UCSC"	"ZTF"	"ZTF19aaklqod"	"P48 - ZTF-Cam"	"Lick-3m - KAST"	"1"	"1"	""	"18.17"	"g-ZTF"	"2020-02-15 07:07:41.000"	"ZTF_AMPEL_NEW"	""	""
