# Geodesic pattern 30 class 2 npts 27002 area_per_point= 1.528
# From geodesic_tiling_pattern_npts27002.txt
# As generated using instruction from http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# Further instructions on generation are available at: https://github.com/SSantosLab/desgw-map/wiki/DECam-Tiling-for-HSC
# RA            DEC
 40.907400 -12.241400
 39.107900 -13.421600
 37.290700 -14.588800
 35.454300 -15.741900
 33.597100 -16.879400
 31.717500 -18.000000
 29.814000 -19.102200
 27.885300 -20.184700
 25.929900 -21.245800
 23.946400 -22.284000
 21.933600 -23.297800
 19.890200 -24.285600
 17.815300 -25.245500
 15.707900 -26.176100
 13.567100 -27.075400
 11.392300 -27.941900
  9.183120 -28.773600
  6.939180 -29.568800
  4.660500 -30.325700
  2.347280 -31.042500
180.000000  29.603000
180.000000  27.488500
180.000000  25.374000
180.000000  23.259500
180.000000  21.145000
180.000000  19.030500
180.000000  16.916000
180.000000  14.801500
180.000000  12.687000
180.000000  10.572500
180.000000   8.457990
180.000000   6.343490
180.000000   4.229000
180.000000   2.114500
180.000000   0.000000
180.000000  -2.114500
180.000000  -4.229000
180.000000  -6.343490
180.000000  -8.457990
180.000000 -10.572500
180.000000 -12.687000
180.000000 -14.801500
180.000000 -16.916000
180.000000 -19.030500
180.000000 -21.145000
180.000000 -23.259500
180.000000 -25.374000
180.000000 -27.488500
180.000000 -29.603000
  0.000000  29.603000
  0.000000  27.488500
  0.000000  25.374000
  0.000000  23.259500
  0.000000  21.145000
  0.000000  19.030500
  0.000000  16.916000
  0.000000  14.801500
  0.000000  12.687000
  0.000000  10.572500
  0.000000   8.457990
  0.000000   6.343490
  0.000000   4.229000
  0.000000   2.114500
  0.000000   0.000000
  0.000000  -2.114500
  0.000000  -4.229000
  0.000000  -6.343490
  0.000000  -8.457990
  0.000000 -10.572500
  0.000000 -12.687000
  0.000000 -14.801500
  0.000000 -16.916000
  0.000000 -19.030500
  0.000000 -21.145000
  0.000000 -23.259500
  0.000000 -25.374000
  0.000000 -27.488500
  0.000000 -29.603000
-88.687000 -59.201000
-87.295000 -60.110200
-88.589000 -61.322200
-84.657000 -59.761000
-85.817000 -61.008800
-87.085000 -62.237100
-88.475000 -63.443600
-83.119000 -60.632000
-84.244000 -61.895200
-85.479000 -63.140000
-86.839000 -64.364100
-88.340000 -65.565300
-80.504000 -60.194500
-81.487000 -61.488900
-82.568000 -62.767500
-83.762000 -64.028900
-85.083000 -65.270900
-86.548000 -66.491200
-88.180000 -67.687000
-78.822000 -61.021300
-79.752000 -62.329700
-80.781000 -63.623700
-81.922000 -64.901600
-83.192000 -66.161500
-84.611000 -67.401200
-86.200000 -68.618100
-87.986000 -69.808800
-76.257000 -60.495900
-77.040000 -61.830100
-77.907000 -63.152200
-78.872000 -64.461100
-79.949000 -65.755300
-81.155000 -67.033100
-82.510000 -68.292400
-84.040000 -69.530600
-85.774000 -70.744600
-87.746000 -71.930600
-74.437000 -61.272500
-75.150000 -62.618600
-75.944000 -63.953900
-76.833000 -65.277200
-77.830000 -66.587200
-78.955000 -67.882500
-80.230000 -69.161000
-81.679000 -70.420500
-83.337000 -71.658100
-85.242000 -72.870200
-87.443000 -74.052300
-71.948000 -60.660800
-72.513000 -62.027000
-73.145000 -63.384200
-73.853000 -64.731800
-74.651000 -66.068600
-75.554000 -67.393700
-76.579000 -68.705800
-77.750000 -70.003000
-79.094000 -71.283500
-80.646000 -72.544600
-82.450000 -73.783000
-84.560000 -74.994500
-87.047000 -76.173600
-70.001000 -61.381700
-70.479000 -62.756900
-71.018000 -64.124000
-71.627000 -65.482600
-72.318000 -66.831900
-73.107000 -68.170900
-74.010000 -69.498600
-75.052000 -70.813500
-76.259000 -72.114000
-77.669000 -73.397900
-79.327000 -74.662200
-81.295000 -75.903400
-83.654000 -77.116300
-86.508000 -78.294200
-67.613000 -60.687000
-67.948000 -62.076300
-68.329000 -63.459100
-68.762000 -64.834800
-69.256000 -66.203000
-69.823000 -67.563100
-70.477000 -68.914300
-71.233000 -70.256000
-72.114000 -71.586900
-73.148000 -72.905800
-74.371000 -74.211000
-75.829000 -75.500100
-77.588000 -76.770000
-79.734000 -78.016700
-82.391000 -79.234000
-85.731000 -80.413500
-65.552000 -61.347200
-65.786000 -62.741800
-66.057000 -64.130400
-66.370000 -65.512900
-66.733000 -66.888700
-67.157000 -68.257600
-67.651000 -69.619000
-68.232000 -70.972400
-68.919000 -72.316900
-69.736000 -73.651700
-70.717000 -74.975500
-71.908000 -76.286800
-73.370000 -77.583200
-75.193000 -78.861800
-77.508000 -80.117800
-80.513000 -81.344300
-84.514000 -82.530100
-63.289000 -60.573800
-63.389000 -61.977000
-63.511000 -63.374900
-63.659000 -64.767500
-63.838000 -66.154500
-64.052000 -67.535700
-64.310000 -68.910800
-64.621000 -70.279500
-64.995000 -71.641400
-65.448000 -72.996200
-66.000000 -74.343200
-66.678000 -75.681800
-67.518000 -77.010900
-68.576000 -78.329400
-69.930000 -79.635300
-71.702000 -80.925800
-74.091000 -82.196500
-77.432000 -83.439600
-82.338000 -84.640900
-61.133000 -61.169300
-61.121000 -62.573300
-61.120000 -63.972400
-61.132000 -65.366500
-61.160000 -66.755500
-61.208000 -68.139100
-61.278000 -69.517200
-61.378000 -70.889600
-61.512000 -72.256200
-61.689000 -73.616800
-61.922000 -74.971000
-62.227000 -76.318600
-62.625000 -77.659100
-63.151000 -78.992200
-63.857000 -80.317000
-64.824000 -81.632500
-66.195000 -82.937200
-68.236000 -84.227900
-71.502000 -85.498500
-77.358000 -86.734000
-59.013000 -60.322900
-58.880000 -61.730300
-58.745000 -63.133000
-58.610000 -64.530800
-58.473000 -65.923600
-58.335000 -67.311400
-58.197000 -68.693900
-58.058000 -70.071200
-57.918000 -71.443100
-57.778000 -72.809400
-57.637000 -74.170000
-57.495000 -75.524800
-57.354000 -76.873700
-57.211000 -78.216500
-57.069000 -79.553000
-56.926000 -80.883100
-56.782000 -82.206600
-56.639000 -83.523400
-56.495000 -84.833300
-56.350000 -86.136000
-56.205000 -87.431500
-56.060000 -88.719600
-56.782000 -60.850400
-56.528000 -62.254000
-56.262000 -63.652600
-55.981000 -65.046200
-55.682000 -66.434500
-55.363000 -67.817600
-55.021000 -69.195100
-54.650000 -70.567000
-54.244000 -71.933100
-53.796000 -73.293100
-53.295000 -74.646800
-52.726000 -75.993900
-52.068000 -77.334100
-51.291000 -78.667000
-50.350000 -79.991800
-49.170000 -81.307700
-47.629000 -82.613100
-45.501000 -83.905700
-42.333000 -85.180300
-37.055000 -86.425100
-26.596000 -87.605100
  0.000000 -88.571200
 56.060000 -88.719600
-54.819000 -59.937800
-54.461000 -61.340000
-54.080000 -62.737000
-53.672000 -64.128700
-53.234000 -65.514800
-52.761000 -66.895100
-52.247000 -68.269400
-51.683000 -69.637300
-51.060000 -70.998500
-50.364000 -72.352700
-49.579000 -73.699400
-48.681000 -75.037900
-47.639000 -76.367400
-46.408000 -77.686900
-44.923000 -78.994900
-43.086000 -80.289000
-40.743000 -81.565800
-37.639000 -82.819500
-33.326000 -84.039700
-26.962000 -85.206200
-16.889000 -86.275700
  0.000000 -87.146800
 26.595800 -87.605100
 56.205200 -87.431500
 77.358500 -86.734000
-52.533000 -60.395200
-52.051000 -61.788700
-51.535000 -63.176300
-50.978000 -64.557800
-50.374000 -65.932900
-49.716000 -67.301100
-48.993000 -68.662000
-48.193000 -70.015100
-47.301000 -71.359800
-46.295000 -72.695300
-45.150000 -74.020600
-43.829000 -75.334500
-42.283000 -76.635200
-40.445000 -77.920300
-38.216000 -79.186400
-35.452000 -80.428500
-31.935000 -81.638700
-27.325000 -82.804400
-21.082000 -83.904200
-12.360000 -84.900600
  0.000000 -85.726900
 16.888500 -86.275700
 37.055100 -86.425100
 56.350100 -86.136000
 71.501600 -85.498500
 82.338300 -84.640900
-50.736000 -59.423300
-50.167000 -60.811600
-49.556000 -62.193500
-48.898000 -63.568600
-48.184000 -64.936400
-47.406000 -66.296500
-46.553000 -67.648100
-45.611000 -68.990700
-44.565000 -70.323400
-43.391000 -71.645100
-42.062000 -72.954500
-40.544000 -74.249900
-38.787000 -75.528900
-36.729000 -76.788700
-34.281000 -78.024900
-31.324000 -79.231700
-27.686000 -80.400400
-23.126000 -81.518200
-17.306000 -82.565500
 -9.771000 -83.511900
  0.000000 -84.311600
 12.360200 -84.900600
 26.962400 -85.206200
 42.332600 -85.180300
 56.494600 -84.833300
 68.235500 -84.227900
 77.431800 -83.439600
 84.514300 -82.530100
-48.416000 -59.809600
-47.725000 -61.184400
-46.980000 -62.551600
-46.173000 -63.910700
-45.297000 -65.261000
-44.338000 -66.601800
-43.284000 -67.932300
-42.117000 -69.251300
-40.816000 -70.557500
-39.355000 -71.849400
-37.700000 -73.124900
-35.807000 -74.381300
-33.620000 -75.615100
-31.065000 -76.821900
-28.045000 -77.995200
