 # Fibonacci Sphere distribution of circles on sphere
 # Assuming 5300 across sky, => 7.9 sq-degrees/desi tile
 # RA            DEC
 -53.41297   -0.99959
-118.07483   24.56829
 -87.51691  -36.59886
 -64.79091   27.61408
-126.45102   -4.98645
 -58.25352  -19.63366
 -99.81982   35.66208
-110.04037  -31.59620
 -54.54215   10.91331
-124.44757   14.20380
 -73.36135  -33.49069
 -76.15636   34.65679
-123.56524  -16.65452
 -53.76882   -8.42958
-112.62297   30.22799
 -96.80132  -36.59981
 -59.29271   22.06900
-127.14208    2.44477
 -62.38968  -26.05919
 -90.73899   37.27606
-116.80857  -26.99387
 -52.79734    3.62791
-121.56280   21.17655
 -81.69127  -36.62330
 -68.18651   31.24110
-126.40619   -9.66919
 -55.48608  -15.75850
-105.43289   34.68521
-105.73570  -34.60246
 -55.28485   15.55498
-126.52212    9.96248
 -68.25150  -31.59627
 -81.27973   36.86966
-122.06448  -21.14788
 -52.35956   -3.92657
-117.05686   27.54313
 -91.08688  -37.87171
 -61.62708   26.28920
-127.89989   -2.22450
 -58.69853  -22.72524
 -96.69553   37.51958
-113.56866  -30.79369
 -52.69846    8.37167
-124.51198   17.32957
 -75.88122  -35.83401
 -72.36398   34.45152
-125.81374  -14.39295
 -53.24845  -11.52086
-110.77090   32.93750
-100.68084  -37.04448
 -56.62612   20.15467
-128.08161    5.44221
 -63.58873  -29.01624
 -87.01205   38.38132
-119.89719  -25.50268
 -51.45765    0.77912
-120.95994   24.27645
 -85.01735  -38.34545
 -64.70147   30.25562
-128.14334   -7.02377
 -55.56001  -18.91412
-102.69515   36.93164
-109.53520  -34.20398
 -53.14020   13.17159
-126.91842   13.10200
 -70.31292  -34.24684
 -77.32682   37.12221
-124.63309  -19.09248
 -51.53495   -6.98895
-115.67015   30.47449
 -94.95650  -38.80079
 -58.62287   24.63713
-129.12972    0.70542
 -59.46464  -25.82684
 -93.17367   39.09550
-116.99638  -29.62892
 -51.06883    5.62847
-124.29599   20.50923
